Question_Num,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Answersheet_1,1,1,1,1,1,1,1,1,1,0,2,1,2,1,2,2,2,1,2,2,3,1,2,3,3,2,2,1,2,1,4,2,1,2,3,4,2,3,4,4,3,3
Answersheet_2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,3,3,1,2,3,3,3,3,3,3,2,2,3,4,4,5,4,5,5,6,4,4,2
